title,author,date,doi,ab
2020 ACM SIGMIS CPR Lifetime Achievement Award,Fred Niederman,"June 2020,",https://doi.org/10.1145/3378539.3393832,"We are pleased to announce that Dr. Thomas W. Ferratt, Professor Emeritus at the University of Dayton, is the recipient of the 2020 ACM SIGMIS CPR Lifetime Achievement Award. He served in leadership roles, including Chair, Conference Chair, and Program Chair, with ACM's Special Interest Group on Computer Personnel Research (SIGCPR). Subsequent to its merger with SIGMIS, he continued to serve in leadership roles with the CPR Conference. Consistent with the conference theme, a major stream of his research has focused on the management of information systems professionals. His research has been published and featured in a variety of publications, including MIS Quarterly, Information Systems Research, Journal of the Association for Information Systems, Journal of Management Information Systems, MIS Quarterly Executive, Communications of the ACM, The DATA BASE for Advances in Information Systems, Information and Management, Communications of the AIS, Academy of Management Journal, Human Relations, Decision Sciences, and Computerworld."
2020 ACM SIGMIS Early Career Award,Mike Gallivan,"June 2020,",https://doi.org/10.1145/3378539.3393833,"It is our great pleasure to announce that Dr. Christian Maier, University of Bamberg, Germany, is the recipient of the 2020 ACM SIGMIS Early Career Award. Dr. Maier is the first recipient of this new honor that recognizes the early achievements of young scholars in the field of management information systems. The award will be announced annually at the ACM SIGMIS CPR Conference. Following his studies in Information Systems, Dr. Maier received a three-year doctoral scholarship from the Bavarian Elite Foundation (BayEFG). He successfully completed his doctorate ""Technostress: theoretical foundations and empirical evidence"" in 2014. His work was awarded, among others, the Schmalenbach Prize 2015. In addition, his research work was nominated for Best Paper Awards (at both ECIS and ICIS) and was awarded the Magid Igbaria Outstanding Conference Paper Award of the ACM, among others."
Artificial Intelligence as Innovation Accelerator,Christian Mühlroth,"June 2020,",https://doi.org/10.1145/3378539.3393869,"The origin and emergence of innovations has been a central question in research and practice for decades. In this context, technological progress plays a decisive role: Existing technologies and capabilities serve as building blocks for the innovations of tomorrow. Over time, the advancing technological evolution thus accelerates itself [1]. Being one of those building blocks, artificial intelligence is used to develop innovations that serve the needs of humans, the needs of other technologies, or both, for example in healthcare, the financial industry, and future mobility."
Updating the Information Systems Curriculum: The ACM / AIS IS2020 Joint Project,Paul M. Leidig,"June 2020,",https://doi.org/10.1145/3378539.3393870,"The Association of Computing Machinery (ACM) and the Association for Information Systems (AIS), two global professional and academic societies with a stake in Information Systems (IS) education, are engaged in a project to revise the Information Systems Curriculum for bachelor's degrees. A joint taskforce on the Information Systems (IS2020) Model Curriculum was created following the report and recommendation of an Exploratory Taskforce. This panel seeks to introduce the work of this taskforce as well as engage the information systems community in this effort. The taskforce seeks to facilitate broad feedback during the IS2020 development process through surveys and open feedback requests. Panelists will introduce the key components of this process and seek input and feedback. This session should be of interest to all attendees, especially faculty developing college-level curricula in Information Systems."
An Innovation Activity Framework for Digital Innovation,Lukas Hellwig,"June 2020,",https://doi.org/10.1145/3378539.3393857,"The digital transformation poses great challenges for companies on numerous levels. It changes existing processes and the activities associated with them. In this paper, we analyse which activities take place within innovation processes in enterprises, taking into account new approaches such as open, user and digital innovation in the context of digital transformation. In our study, we use a comprehensive literature review to identify all relevant activities along innovation processes. In total, 48 activities within seven phases can be identified on the basis of 16 considered references. We further identify eight specific practices of digital innovation and derive a dependency. Hereby, we contribute to a better understanding of the impact of digital transformation on innovation processes and provide a practice-oriented overview. Furthermore, the findings form a solid basis for further empirical studies."
Leveraging Information Systems Outsourcing for Innovation,Marfri Gambal,"June 2020,",https://doi.org/10.1145/3378539.3393840,"This study is motivated by the apparent shortage of research on information systems (IS) outsourcing engagements that are leveraged for innovation on the client firm's behalf. Building on existing insights related to this managerial problem, we explore factors located within and outside the boundaries of an outsourcing engagement that shape the dynamics of the underlying innovation initiative. We are in the process of conducting a qualitative case study investigating four innovation through IS outsourcing engagements at an Austrian care home. Our preliminary findings indicate that an effective organization of IS outsourcing for innovation necessitates consideration of how engagement-specific factors and factors outside of the project may affect an initiative's innovation potential. With the framework of innovation through outsourcing, we propose an approach to capture these factors holistically."
How does the User Type Affect the Acceptance of Digital Innovation on the Job: Research in Progress,Timon Sengewald,"June 2020,",https://doi.org/10.1145/3378539.3393845,"Digital technologies promise greater effectiveness and higher productivity for companies. The question of the factors influencing the success of such technologies has long been a subject of research. However, these factors seem to be depending on the user type. This paper handles the case of the implementation of a new mobile application to support distinct work processes and presents preliminary results. A total of two field observations and 22 interviews were conducted to create a framework that promotes the development of digital innovations by systematically identifying characteristics that improve the adoption rate."
Examining the Influence of Product Innovation on Social Media Platforms: Evidence from Instagram,Reza Alibakhshi,"June 2020,",https://doi.org/10.1145/3378539.3393836,"Grounding our discussion in social penetration and resource allocation theories, we propose and test the influence of introducing a new product, namely Instagram Story, on the usage and content creation behavior on the Instagram platform. Employing a quasi-experimental setting, we investigate the influence of introducing this new product on user engagement and content generation. Our findings identify the significant influence of Instagram Story on the user engagement with the original product i.e. Instagram Post and the overall resource expenditure by content providers. Through our study we delineate several important implications for both research and practice. Specifically, our study provides significant insights for platform owners and content providers to better design and implement new products on social media platforms."
"Is Cryptocurrency Money?: Three Empirical Studies Analyzing Medium of Exchange, Store of Value and Unit of Account",Jens Mattke,"June 2020,",https://doi.org/10.1145/3378539.3393859,"Cryptocurrencies, such as Bitcoin, Ethereum or Ripple, are discussed as a new form of money. Typically, money fulfills three core functions: 1) medium of exchange, 2) store of value, and 3) unit of account. To examine whether individuals consider cryptocurrencies as money, we conduct three studies. Study 1 (N=57) provides valid and reliable measurement items for the three core functions of money. Study 2 (N=95) shows that the general perception about the fulfillment of the core functions is rather positive for cryptocurrencies. The results from Study 3 (N=99) furthermore reveal that Bitcoin is perceived significantly better in fulfilling all three functions than Ethereum or Ripple. The findings suggest that cryptocurrency research needs to include or at least control for the basic perceptions of core functions when examining individuals' adoption or use of cryptocurrency as money. Furthermore, the findings suggest that existing knowledge from Bitcoin use or adoption research cannot be easily transferred to the context of another cryptocurrency."
Policy Formation Without Authority: Towards Resilient Financial Infrastructure for Emerging Economies,Omri Ross,"June 2020,",https://doi.org/10.1145/3378539.3393849,"We document the design and development of a modular blockchain IT artefact, affording stakeholders in emerging economies the ability to deploy and collectively govern resilient financial infrastructure. The artefact comprises a smart contract system implementing an iterative policy framework through which stakeholders engage in collective deliberation on the compilation, redistribution and inflation of a native asset class. Stakeholders submit and elect 'schemes' implementing policy measures, such as taxation, through voting sessions weighted by 'reputation scoring'. We aim to contribute towards the emerging discourse on the utility of blockchain technology in emerging economies."
Applying Enterprise Architecture for Digital Transformation of Electro Mobility towards Sustainable Transportation,Bokolo Anthony Jnr.,"June 2020,",https://doi.org/10.1145/3378539.3393858,"Electro Mobility (eMobility) involves deploying Information and Communication Technologies (ICT) and electric technologies in vehicles to enable electric propulsion of vehicles referred to as Electric Vehicles (EVs). EVs are key infrastructure for achieving a sustainable energy future since EV usage can support in achieving CO2 reduction. However, the deployment of EVs for eMobility is highly dependent on data integration of mobility solutions from different stakeholders involved in urban transportation. Respectively, data integration from different mobility services will result to cost reduction and create valued added services to citizens. Therefore, there is need to achieve data integration not only for physical systems but for all domains in providing mobility related services that can be synergically applied to citizens and stakeholders in order to develop innovative solutions at district and urban level. Therefore, this study adopts Enterprise Architecture (EA) for digital transformations of eMobility services for sustainable transportation. Action research methodology was employed and secondary data from the literature was presented in the industrial data space reference architecture to initially validate digital transformation of electro mobility. Findings from this study reveal that EA support digital transformation of eMobility in managing data integration to support cities to implement sustainable transportation services."
Automation Anxiety as a Barrier to Workplace Automation: An Empirical Analysis of the Example of Recruiting Chatbots in Germany,Judith Eißer,"June 2020,",https://doi.org/10.1145/3378539.3393866,"Workplace automation substantially changes the overall working environment. Through artificial intelligence and robotics, more and more complex tasks can be automated. Various jobs could undergo significant changes or even cease to exist due to these technological advancements. One area affected by these developments is the recruitment in enterprises. Chatbot systems have the potential to automate the communication processes within recruiting. This automation could cause automation anxiety perceived by recruiters due to their job being at risk of automation. Within this study, the influence of automation anxiety perceived by recruiters on the acceptance of chatbot technology is assessed. Methodologically, an adaptation of the Technology Acceptance Model (TAM) is proposed for the assessment of recruiting chatbot acceptance by exchanging the original construct computer anxiety with the more focused construct automation anxiety (AANX). The completed pre-study as preparatory work for a more comprehensive recruiting acceptance study presented in this paper resulted in 83 participants. As a preliminary result, AANX is supported as a construct significantly influencing recruiters' perceived level of chatbot acceptance through its positive relationships with job relevance and perceived usefulness. However, recruiters seem to ostensibly focus on the opportunities that chatbot systems offer, which are perceived as useful and positive and only sporadically on potential concerns of this technology."
